date,ship_1,type,nationality_1,ship_2,nationality_2,location,latitude,longitude,outcome,source,type2,status,victor
1799-05-13 00:00:00+00,[unknown],brig,USA,La Victoire,France,24o16'N 63o41'W,24.266,-63.6833,brig captured,QW3:182,Captured by French,MP,French
1799-05-16 00:00:00+00,Ardent,ship,USA,5 privateers,France,straits of Gibraltar,35.992099,-5.422955,ship captured,QW3:195,Captured by French,MP,French
1799-05-27 00:00:00+00,Harmony,ship,USA,Le Surges,France,lat 41o42',41.854806,-19.579037,Harmony captured,QW3:263,Captured by French,MP,French
1799-06-16 00:00:00+00,Ganges,ship,USA,Vainqueure,France,NEbN of St. Bartholomews 16 or 18 leagues,18.6125,-62.38694,Vainqueure captured,QW3:346,Captured by Americans,NP,American
1799-06-17 00:00:00+00,Robertson,brig,USA,Lodolph and another,France,between Cadiz and the Straits of Gibraltar,36.042565,-6.30444,Robertson captured,QW3:355,Captured by French,MP,French
1799-06-12 00:00:00+00,George,brig,USA,privateer,France,off Mudfort (near Cayenne),5.238784,-52.406659,George captured,QW3:357,Captured by French,MP,French
1799-06-12 00:00:00+00,John,schooner,USA,privateer,France,off Mudfort (near Cayenne),5.238784,-52.406659,John captured,QW3:357,Captured by French,MP,French
1799-06-20 00:00:00+00,Peyton Randolph,brig,USA,Revenge,France,15o30'N 56o50'W,15.5,-55.83,Peyton Randolp captured,QW3:374,Captured by French,MP,French
1799-06-24 00:00:00+00,Commerce,ship,USA,La Mouche,France,between Bordeaux and Cadiz,41.36864,-11.792195,Commerce captured,QW3:396,Captured by French,MP,French
1799-06-24 00:00:00+00,Ann,ship,USA,La Mouche,France,36oN 11o30'W,36,-11.5,Ann captured,QW3:397,Captured by French,MP,French
1799-06-30 00:00:00+00,Mary Ann,ship,USA,La Roman,France,near Barcelona,41.331659,2.257944,Mary Ann captured (again),QW3:435,Captured by French,MP,French
1799-07-06 00:00:00+00,Hope,schooner,USA,privateer,France,windward of Surinam River,6.105707,-54.896385,Hope captured and set adrift,QW3:470,Captured by French,MP,French
1799-07-06 00:00:00+00,Aurora,ship,USA,L'Hazarde,France,off Angere,-13.765353,76.200448,Aurora captured,QW3:471,Captured by French,MP,French
1799-07-07 00:00:00+00,John,schooner,USA,L'Importune,France,10-15 leagues windward of Brandt Point,8.756382,-59.345047,John captured,QW3:473,Captured by French,MP,French
1799-08-14 00:00:00+00,John,schooner,USA,Revellieu,France,windward of Antigua,17.104069,-61.562423,John captured,QW3:473,Captured by French,MP,French
1799-07-10 00:00:00+00,Rufus,armed merchant ship,USA,Cockade,France,Cadiz SEbE 4-5 leagues,36.6041666,-6.59305,Rufus captured,QW3:483,Captured by French,MP,French
1799-07-10 00:00:00+00,Planter,armed merchant ship,USA,privateer,France,29o2'N 17o30'W,29.033,-17.5,privateer sheered off after battle,QW3:487,Engagement but no capture,MP,none
1799-06-29 00:00:00+00,Merrimack,sloop of war,USA,la Magicienne,France,east of Deseada,16.339337,-60.86402,Magicienne captured,QW3:495,Captured by Americans,NP,American
1799-07-29 00:00:00+00,Jane,schooner,USA,Alliance,France,Porto Rico SEbS 6 or 7 leagues,18.2505,-67.58805,Jane captured,QW3:556,Captured by French,MP,French
1798-07-26 00:00:00+00,Eliza,armed merchant ship,USA,L'Heureux Decide,France,near London,51.67876,1.722132,Eliza captured after 2-hour battle,QW2:162,Captured by French,MP,French
1798-02-21 00:00:00+00,Eliza,armed merchant ship,USA,Nymphe Phaeton Mermaid,Britain,49o10'N 10o30'W,49.16667,-10.5,Eliza recaptured from French and taken to Plymouth,QW2:163,Recaptured by British,MN,British
1798-12-16 00:00:00+00,Factor,armed merchant ship,USA,Intrepid,France,en route to London from New York,41.136558,-29.808629,Factor captured but escaped under 1st mate next day,QW2:164,Captured by French,MP,French
1798-03-16 00:00:00+00,Fame,armed merchant ship,USA,La Vengeance,France,22o45'N. Longitude 68o52'W,22.75,-68.86667,Fame captured,QW2:165,Captured by French,MP,French
1798-11-03 00:00:00+00,Favorite,armed merchant ship,USA,privateer,France,south end of Heneaga,20.722122,-73.698263,privateer got away because wind died,QW2:166,Engagement but no capture,MP,none
1798-12-10 00:00:00+00,Hannah,armed schooner,USA,Filibustier,France,6 leagues off Malaga,36.56305556,-4.1075,captured by Filibustier,QW2:169,Captured by French,MP,French
1798-09-14 00:00:00+00,Hannah,armed merchant ship,USA,La Vengeance,France,between London and Portsmouth VA,37.625056,-69.455751,captured by La Vengeance,QW2:169,Captured by French,MP,French
1798-12-17 00:00:00+00,Hazard,armed brig,USA,2 privateers,France,off Bilboa,44.525999,-3.900361,Hazard beat off privateers,QW2:170,Engagement but no capture,MP,none
1798-12-28 00:00:00+00,Henry,armed sloop,USA,privateer,France,20oN 62o30'W,20,-62.5,escaped privateer,QW2:170,Engagement but no capture,MP,none
1798-11-04 00:00:00+00,Highlander,armed schooner,USA,privateer,France,19o10'N 50oW,19.16666667,-50,captured by privateer,QW2:171,Captured by French,MP,French
1798-06-03 00:00:00+00,Hunter,armed merchant ship,USA,La Bonne Mere,France,near Guadeloupe,16.731527,-60.88355,captured by privateer,QW2:172,Captured by French,MP,French
1798-06-03 00:00:00+00,Luna,armed barque,USA,6 privateers,France,near Tortola,18.472359,-64.672053,in convoy Luna captured 6 privateers,QW2:177,Captured by Americans,MP,American
1798-08-01 00:00:00+00,Nancy,armed brig,USA,privateer,France,off Madeira,32.529722,-17.433004,captured by privateer; master retook brig,QW2:181,Captured by French,MP,French
1798-02-13 00:00:00+00,New Jersey,armed merchant ship,USA,La Bourdaine,France,23o30' N 62o,23.5,-62,captured by La Bourdaine,QW2:182,Captured by French,MP,French
1798-12-31 00:00:00+00,Perseverance,armed merchant ship,USA,privateer,France,Old Bahamas Straits,22.979791,-77.81299,beat off privateer,QW2:185,Engagement but no capture,MP,none
1798-06-22 00:00:00+00,Princess Royal,armed packet,USA,privateer,France,off Western Islands,58.300592,-8.867628,privateer sheered off after 2.25hr battle,QW2:186,Engagement but no capture,MP,none
1798-08-07 00:00:00+00,Rambler,armed merchant ship,USA,privateer,France,26oN from Martinique,26.306444,-54.420702,privateer sheered off when Rambler made prep to attack,QW2:187,Engagement but no capture,MP,none
1798-06-23 00:00:00+00,Ranging Polly,armed schooner,USA,privateer,France,between New York and Martinique,26.030358,-68.9666,privateer sheered off,QW2:187,Engagement but no capture,MP,none
1798-09-14 00:00:00+00,Reindeer,armed merchant ship,USA,privateer,France,near Martinique,15.329993,-59.913865,captured,QW2:188,Captured by French,MP,French
1798-12-23 00:00:00+00,Republican,armed merchant ship,USA,Spartiate,France,4o16'N 37o5'W,4.266,-37.0833,captured by Spartiate,QW2:188,Captured by French,MP,French
1798-06-07 00:00:00+00,Sarah,armed merchant ship,USA,privateer,France,off Madeira,32.5,-17.4,fought with privateer and drove it off,QW2:191,Engagement but no capture,MP,none
1798-05-06 00:00:00+00,Trial,armed merchant ship,USA,Escamoteur,France,30o40'N 19o50'W,30.666,-19.833,captured by Escamoteur,QW2:193,Captured by French,MP,French
1798-06-01 00:00:00+00,Triton,armed galliot,USA,2 privateers,France,around Martinique,14.958827,-62.451707,captured by second privateer; all crew put to death,QW2:194,Captured by French,MP,French
1798-12-18 00:00:00+00,Vulture,armed brig,USA,Furet,France,23o12'N 53o30'W,23.2,-53.5,captured,QW2:195,Captured by French,MP,French
1799-01-01 00:00:00+00,Delaware,sloop of war,USA,2 privateers,France,off Matanzes,23.234895,-81.460616,shots fired,QW2:221,Engagement but no capture,MP,none
1799-01-10 00:00:00+00,Amazon,letter of marque schooner,USA,Flower of the Sea,France,10 leagues eastward of Lageira,10.6816,-66.4477,captured by Flower of the Sea,QW2:227,Captured by French,PP,French
1798-12-28 00:00:00+00,Henry,sloop,USA,privateer,France,20oN 62o30'W,20,-62.5,chased by privateer,QW2:227,Captured by French,MP,French
1799-01-09 00:00:00+00,Henry,sloop,USA,packet,Spain,22o10'N 71o40'W,22.1666,-71.666,captured and taken to Havana,QW2:228,Captured by French,MP,French
1799-01-24 00:00:00+00,Diana,armed brig,USA,Du Gommier. Don Quixote,France,off Malaga,36.427059,-4.35039,captured and taken to Malaga,QW2:278,Captured by French,MP,French
1799-01-28 00:00:00+00,Constellation,frigate,USA,sloop,France,close to Basseterre,15.868846,-61.893605,shots fired,QW2:290,Engagement but no capture,NP,none
1799-01-30 00:00:00+00,Essequebo Packet,packet,USA,schooner,France,windward of Martinique,15.086009,-60.689916,schooner perished in a squall,QW2:295,Engagement but no capture,MP,none
1799-02-01 00:00:00+00,Constellation,frigate,USA,privateer,France,harbor of Ft. St. Pine,15.946073,-61.708729,privateer outran Constellation,QW2:300,Engagement but no capture,NP,none
1799-02-03 00:00:00+00,United States,frigate,USA,L'Amour de la Patrie,France,windward of Martinique,15.08,-60.68,United States sunk privateer,QW2:305,Sunk by Americans,NP,American
1799-02-05 00:00:00+00,Appollo,schooner,USA,schooner,France,24oN,23.609501,-58.65522,Appollo captured but then retaken by master,QW2:315,Captured by French,MP,French
1799-02-09 00:00:00+00,Concord,ship,USA,Le Prudent,France,off Cape of Good Hope,-34.863381,17.627787,Concord captured,QW2:317,Captured by French,MP,French
1799-02-09 00:00:00+00,Constellation,frigate,USA,L'Insurgente,France,Nevis WSW 5 leagues,17.2652777,-62.29694,Constellation captured L'Insurgente,QW2:327,Captured by Americans,NN,American
1799-02-13 00:00:00+00,Maria,schooner,USA,Adolphus,France,near Cadiz,36.439089,-6.757626,Maria captured by Adolphus and 5 other privateers,QW2:350,Captured by French,MP,French
1799-02-08 00:00:00+00,Betsey,schooner,USA,Republican,France,59o58'N 17o27'W,59.9666,-17.45,Betsey captured,QW2:403,Captured by French,MP,French
1799-02-26 00:00:00+00,Amity,schooner,USA,La Zaboa,France,Cape Antonio 5 or 6 leagues distant,21.89194,-85.28861,Amity captured,QW2:407,Captured by French,MP,French
1799-04-02 00:00:00+00,Brilliant,sloop,USA,Prudent,France,between Kingston and Savannah,28.572481,-74.603391,Brilliant sunk,QW2:407,Captured by French,MP,French
1799-04-02 00:00:00+00,Betsy,schooner,USA,Prudent,France,between Kingston and Savannah,28.572481,-74.603391,Betsy sunk,QW2:407,Captured by French,MP,French
1799-02-27 00:00:00+00,Chatham,brig,USA,privateer,France,SW end of Cuba,21.4082,-85.622243,privateer sailed away after battle,QW2:413,Engagement but no capture,MP,none
1799-02-27 00:00:00+00,Lucretia,brig,USA,privateer,France,SW end of Cuba,21.4082,-85.622243,privateer sailed away after battle,QW2:413,Engagement but no capture,MP,none
1799-02-27 00:00:00+00,Diligence,schooner,USA,privateer,France,near Desada? (La Desirade),16.413121,-61.074134,privateer escaped by running under the fort,QW2:413,Engagement but no capture,MP,none
1799-03-04 00:00:00+00,Delaware,,USA,Marsouin,France,off Moro Castle,23.614626,-82.751741,Delaware captured the Marsouin,QW2:421,Captured by Americans,NP,American
1799-03-05 00:00:00+00,Sally,ship,USA,privateer,France,under the lee of Guadeloupe,15.840569,-61.946174,shots fired but lost in the night,QW2:425,Engagement but no capture,MP,none
1799-03-08 00:00:00+00,Charming Betsey,armed schooner,USA,Revenge,France,between Curacao and Laguira,11.487287,-68.021542,45-minute engagement ended with neither party captured,QW2:434,Engagement but no capture,MP,none
1799-03-08 00:00:00+00,Molly,armed merchant ship,USA,privateer,France,16 or 17 leagues from Cape Clear; lat 51o20'N,51.254605,-9.568518,engagement ended with no capture,QW2:435,Engagement but no capture,MP,none
1799-03-08 00:00:00+00,Mary,armed merchant ship,USA,4 privateers,France,near Malaga,36.374851,-4.339101,Mary fired upon but not captured,QW2:435,Engagement but no capture,MP,none
1799-03-07 00:00:00+00,Constellation,frigate,USA,Union (letter of marque),France,off Basseterre Roads Guadeloupe,15.984396,-61.751469,Constellation captured Union,QW2:458,Captured by Americans,NP,American
1799-03-14 00:00:00+00,Cygnet,ship,USA,John and Edward,Britain,under Cuba,19.963375,-81.104537,John and Edward captured Cygnet,QW2:462,Captured by British,MP,British
1798-08-23 00:00:00+00,United States and Delaware,frigate and sloop,USA,Sans Pareil,France,northwest of Martinique,14.984034,-61.560056,Sans Pareil captured,QW2:479,Captured by Americans,NP,American
1798-09-05 00:00:00+00,United States and Delaware,frigate and sloop,USA,Jaloux,France,near San Juan,18.830375,-66.108395,Jaloux captured,QW2:479,Captured by Americans,NP,American
1798-11-20 00:00:00+00,Retaliation,schooner,USA,L'Insurgente and La Volontaire,France,south of Desceada,16.243134,-61.053311,Retaliation captured,QW2:479,Captured by French,NN,French
1799-02-04 00:00:00+00,United States,frigate,USA,Tartuffe,France,NE of St Lucia,14.261394,-60.687452,Tartuffe captured,QW2:479,Captured by Americans,NP,American
1799-03-01 00:00:00+00,Montezuma,brig,USA,Les Amis,France,S of St Croix,17.623694,-64.831874,Les Amis captured,QW2:479,Captured by Americans,NP,American
1799-03-24 00:00:00+00,unknown (Capt. A. Gordon),ship,USA,privateer,France,23o20'n 61o10'w,23.333,-61.1666,captured by privateer,QW2:509,Captured by French,MP,French
1799-03-24 00:00:00+00,Lydia,schooner,USA,privateer,France,23o20'n 61o10'w,23.333,-61.1666,captured by privateer,QW2:509,Captured by French,MP,French
1799-03-28 00:00:00+00,Washington,armed ship,USA,privateer,France,north of the Mona Passage,18.35635,-67.843445,privateer outran Washington,QW2:531,Engagement but no capture,MP,none
1799-03-30 00:00:00+00,Nymph,armed brig,USA,Gironda,France,42oN 34o11'W,42,-34.1833,Gironda captured Nymph,QW2:535,Captured by French,MP,French
1799-03-30 00:00:00+00,Minerva,schooner,USA,Gironda,France,42oN 34o11'W,42,-34.1833,Gironda captured Minerva,QW2:539,Captured by French,MP,French
1799-02-18 00:00:00+00,Potowmac,schooner,USA,Genius,France,near Tortola,19.946317,-66.766665,Potowmac captured,QW3:562,Captured by French,MP,French
1799-06-28 00:00:00+00,Eagle,schooner,USA,Mars,France,in front of Tarifa,35.978033,-5.660277,Eagle captured,QW3:565,Captured by French,MP,French
1799-08-05 00:00:00+00,Ganges,ship,USA,La Rabateuse,France,12 mi windward of St. Bartholomews,17.907,-62.606,La Rabateuse,QW4:29,Captured by Americans,NP,American
1799-08-07 00:00:00+00,Maria,brig,USA,privateer,England,near Hole-in-the-Wall,25.7,-77.2,Maria captured and 4 men pressed,QW4:43,Captured by British,MP,British
1799-04-01 00:00:00+00,Belvidere,ship,USA,2 xebecs,France,gut of Gibraltar,36.123658,-5.36974,shots fired,QW4:62,Engagement but no capture,MP,none
1799-04-13 00:00:00+00,Belvidere,ship,USA,2 xebecs and a privateer,France,off Malaga,36.684502,-4.406523,battle until dark when French sailed off,QW4:62,Engagement but no capture,MP,none
1799-06-02 00:00:00+00,Belvidere,ship,USA,2 xebecs,France,off Malaga,36.684502,-4.406523,battle for 2 hours; French disengaged,QW4:62,Engagement but no capture,MP,none
1799-08-21 00:00:00+00,USS Portsmouth,ship,USA,Hussar,France,Surinam River mouth,5.936358,-55.198509,Hussar given up to Portsmouth after days of confinement,QW4:67,Captured by Americans,NP,American
1799-08-20 00:00:00+00,Rose,ship,USA,Le Conquise L'Egypt,France,16N 69W,16,-69,Rose captured,QW4:103,Captured by French,MP,French
1799-08-22 00:00:00+00,USS Pinckney,brig,USA,Adelaide,France,2 leagues east of Moro,23.15,-82.47,Adelaide captured,QW4:106,Captured by Americans,NP,American
1799-09-05 00:00:00+00,Mary,schooner,USA,2 boats,France,2 or 3 leagues from Pampata Forts Margarita,11,-63.67,Mary captured,QW4:163,Captured by French,MP,French
1799-09-06 00:00:00+00,America,ship,USA,Diligente,France,28N 35W,28,-35,America captured,QW4:165,Captured by French,MP,French
1799-09-09 00:00:00+00,Sally,schooner,USA,Le Importe,France,coast of Surinam,6.341356,-55.398414,Sally burned,QW4:170,Captured by French,MP,French
1799-09-18 00:00:00+00,Matilda,brigantine,USA,La Courageuse & La Cyrene,France,entrance of Port of Gustavia,17.897299,-62.858236,Matilda captured,QW4:207,Captured by French,MP,French
1799-09-18 00:00:00+00,Reliance,schooner,USA,Desfourneaux,France,mile from south of St. Bartholomew,17.863,-62.838,Reliance captured,Qw4:207,Captured by French,MP,French
1799-10-08 00:00:00+00,Ranger,brigantine,USA,L'Espori,France,near Guadeloupe,16.041157,-62.0481,Ranger captured,QW4:269,Captured by French,NP,French
1799-10-14 00:00:00+00,Nancy,schooner,USA,privateer,France,from Barbados to St. Lucia,13.673766,-60.349162,Nancy captured,QW4:285,Captured by French,MP,French
1799-07-01 00:00:00+00,Nautilus,schooner,USA,Trois Amis,France,near Curacao,12.430864,-68.707882,Nautilus captured,QW4:287,Captured by French,MP,French
1799-11-18 00:00:00+00,USRC Pickering,revenue cutter,USA,L'Egypte Conquise,France,off Point Petre,16.19408,-61.533533,L'Eypte Conquise captured,QW4:295,Captured by Americans,NP,American
1799-10-20 00:00:00+00,Fair Columbian,ship,USA,Biannas,France,28o32'N 65040'W,28.53,-65.66,Fair Columbian captured,QW4:301,Captured by French,MP,French
1799-10-21 00:00:00+00,Wooddrop,armed merchant ship,USA,Grand Heureux,France,42N 35W,42,-35,Wooddrop captured,QW4:307,Captured by French,MP,French
1799-10-22 00:00:00+00,[master William Duer],,USA,privateer,France,near Trinidad,10.999629,-61.660841,USA ship captured,QW4:310,Captured by French,MP,French
1799-10-24 00:00:00+00,Washington,ship,USA,privateer,France,48o30'N 8o50'W,48.5,-8.83,privateer sheered off after battle,QW4:315,Engagement but no capture,MP,none
1799-10-29 00:00:00+00,USS Delaware,ship,USA,Ocean,France,near St. Kitts,17.406937,-62.558455,Ocean captured,QW4:337,Captured by Americans,NP,American
1799-11-01 00:00:00+00,Spartan,schooner,USA,Diomede,France,23o30N 63W,23.5,-63,Spartan captured,QW4:346,Captured by French,MP,French
1799-11-13 00:00:00+00,Shepherdess,schooner,USA,La Rouch R'Encounter,France,16o40'N 59oW,16.66,-59,Shepherdess captured,QW4:389,Captured by French,MP,French
1799-11-18 00:00:00+00,Nancy,schooner,USA,privateer,France,15N 63W,15,-63,Nancy captured,QW4:422,Captured by French,MP,French
1799-11-20 00:00:00+00,Nancy,schooner,France,Adams and Insurgente,USA,near Guadeloupe,16.008158,-62.027501,Nancy recaptured,QW4:422,Captured by Americans,MP,American
1799-11-18 00:00:00+00,Weymouth,schooner,USA,Hope,France,near Puerto Rico,18.875776,-66.014845,Weymouth captured,QW4:423,Captured by French,MP,French
1799-12-01 00:00:00+00,Weymouth,schooner,France,USS General Greene,USA,near Puerto Rico,18.8,-66,Weymouth recaptured,QW4:423,Recaptured by Americans,NP,American
1799-11-21 00:00:00+00,Jane,schooner,USA,2 barges (Rigaud's),France,near Port au Prince,18.634351,-72.525784,Jane plundered but not taken,QW4:437,Boarded by French,MP,French
1799-11-26 00:00:00+00,Cato,ship,USA,privateer,France,49o15'N 10o30'W,49.25,-10.5,Cato captured,QW4:451,Captured by French,MP,French
1799-11-30 00:00:00+00,USS Adams,ship,USA,Le Onze Vandemare,France,near Guadeloupe,16,-62,Le Onze Vandemare captured,QW4:463,Captured by Americans,NP,American
1799-12-03 00:00:00+00,Penelope,brig,USA,Fleur de Mair,France,between Trinidad and St. Thomas,15.829995,-62.944774,Penelope captured,QW4:478,Captured by French,MP,French
1799-12-28 00:00:00+00,Commerce,ship,USA,privateer,France,in sight of Antigua,17.272,-62.020416,Commerce captured,QW4:575,Captured by French,MP,French
1799-12-29 00:00:00+00,USS Connecticut,ship,USA,Conqueror of Italy,France,near Point Petre,16,-61.5,Conqueror of Italy captured,QW4:577,Captured by Americans,NP,American
1800-01-01 00:00:00+00,USS Experiment,schooner,USA,10 barges,France,channel between Gonaib and Trou Corvet,18.957961,-72.906951,sunk two barges,QW5:1,Captured by Americans,NP,American
1800-01-01 00:00:00+00,Mary,schooner,USA,10 barges,France,channel between Gonaib and Trou Corvet,18.957961,-72.906951,captain killed but ship saved,QW5:1,Engagement but no capture,MP,none
1800-01-01 00:00:00+00,Daniel and Mary,brig,USA,10 barges,France,channel between Gonaib and Trou Corvet,18.957961,-72.906951,captured by one of the barges,QW5:2,Captured by French,MP,French
1800-01-01 00:00:00+00,Washington,schooner,USA,10 barges,France,channel between Gonaib and Trou Corvet,18.957961,-72.906951,captured by one of the barges,QW5:2,Captured by French,MP,French
1800-01-05 00:00:00+00,Louis,ship,USA,Clarissa,France,19N 90E,19,90,captured by Clarissa,QW5:38,Captured by French,MP,French
1800-01-05 00:00:00+00,Criterion,ship,USA,Clarissa,France,19N 90E,19,90,captured by Clarissa,QW5:38,Captured by French,MP,French
1800-01-12 00:00:00+00,USS Baltimore,ship,USA,La Brilliant Jeunesse,France,10o40'N 60o12'W,19.66,-60.2,captured La Brilliant Jeunesse,QW5:69,Captured by Americans,NP,American
1800-01-14 00:00:00+00,USS Connecticut,ship,USA,privateer,France,up to shore of Deseada,16.316438,-61.030961,privateer struck and sunk,QW5:73,Sunk by Americans,NP,American
1800-01-21 00:00:00+00,USS Herald,ship,USA,La Mutine,France,off San Juan Puerto Rico,18.54309,-66.129066,La Mutine captured,QW5:111,Captured by Americans,NP,American
1800-01-25 00:00:00+00,Nancy,armed brig,USA,Flisbustier,France,20 leagues eastward of Porto Santo,33.1138,-15.066,Nancy captured,QW5:132,Captured by French,MP,French
1800-01-25 00:00:00+00,Portland,armed ship,USA,privateer,France,21o50'N 59o30'W,21.83,-59.5,Portland captured,QW5:132,Captured by French,MP,French
1800-02-01 00:00:00+00,USS Constellation,frigate,USA,La Vengeance,France,15o17'N 66o4'W,15.2833,-66.066,Vengeance severely damaged,QW5:167,Engagement but no capture,NP,none
1800-02-18 00:00:00+00,USS Experiment,schooner,USA,L'Legere,France,between St. Jago and Jeremie,17.306855,-54.300071,L'Legere captured,QW5:229,Captured by Americans,NP,American
1800-03-01 00:00:00+00,Friendship,ship,USA,privateer,France,Point of Rotta,36.603065,-6.518296,shots fired,QW5:256,Engagement but no capture,MP,none
1800-03-02 00:00:00+00,Mary,ship,USA,3 armed barges,France,bight of Leogane,19.46193,-73.110704,Mary captured,Qw5:261,Captured by French,MP,French
1800-03-04 00:00:00+00,USS Boston,ship,USA,La Fortune,France,off Cape Tiburon,18.319839,-74.403427,Boston boarded Fortune,QW5:271,Boarded by Americans,NP,American
1800-03-26 00:00:00+00,USS Boston,ship,USA,Happy,France,off Cape Tiburon,18.319839,-74.403427,Happy captured,QW5:271,Captured by Americans,NP,American
1800-03-06 00:00:00+00,Fame,schooner,USA,privateer,France,St. Pierre's Bay,14.742841,-61.19945,Fame captured,QW5:274,Captured by French,MP,French
1800-03-10 00:00:00+00,Betsy,sloop,USA,privateer,France,18N,18.112534,-61.320256,Betsy captured,QW5:288,Captured by French,MP,French
1800-03-11 00:00:00+00,Ceres,brig,USA,3 privateers,France,27N; south of Bermuda,27.215076,-64.486931,Ceres outsailed privateers,QW5:293,Engagement but no capture,MP,none
1800-03-11 00:00:00+00,USS General Greene,ship,USA,armed schooner,France,off Jacmel,18.065319,-72.519399,General Greene captured the schooner,QW5:318,Captured by Americans,NP,American
1800-03-17 00:00:00+00,Active,schooner,USA,La Troisiene Ferraileuse,France,50o30'N 20W,50.5,-20,Active captured,QW5:320,Captured by French,MP,French
1800-04-03 00:00:00+00,USS John Adams,ship,USA,La Jason,France,south point of Martinique W half; St. Lucia SW 9 leagues,14.43,-60.6,La Jason captured,QW5:341,Captured by Americans,NP,American
